Timestamp,Name,Energy,Pressure
9/22/2025 8:55:18,zyx,4,2
9/22/2025 9:02:18,khq,5,1
9/22/2025 9:02:55,syc,4,1
9/22/2025 9:03:01,zjh,5,3
9/22/2025 9:11:15,jky,4,2
9/22/2025 9:59:47,jky,4,3
9/22/2025 9:59:49,zyx,4,1
9/22/2025 10:00:20,zjh,5,3
9/22/2025 10:00:25,syc,3,2
9/22/2025 10:07:18,khq,4,1
9/22/2025 11:00:27,khq,3,1
9/22/2025 11:00:44,zjh,5,2
9/22/2025 11:00:46,syc,5,1
9/22/2025 11:10:24,jky,3,3
9/22/2025 11:15:29,zyx,4,1
9/22/2025 12:02:19,jky,3,2
9/22/2025 12:02:31,zyx,4,2
9/22/2025 12:03:23,zjh,4,3
9/22/2025 12:03:39,syc,3,2
9/22/2025 13:00:23,khq,3,1
9/22/2025 13:00:28,zyx,3,1
9/22/2025 13:00:30,zjh,5,1
9/22/2025 13:07:13,syc,5,1
9/22/2025 13:29:23,jky,4,2
9/22/2025 14:00:32,khq,3,2
9/22/2025 14:00:38,syc,5,2
9/22/2025 14:00:40,zyx,4,1
9/22/2025 14:00:47,jky,3,3
9/22/2025 14:00:54,zjh,4,1
9/22/2025 15:00:26,jky,3,3
9/22/2025 15:00:37,zyx,3,3
9/22/2025 15:00:47,khq,3,1
9/22/2025 15:00:48,syc,3,3
9/22/2025 15:00:52,zjh,4,1
9/22/2025 16:00:30,zyx,3,2
9/22/2025 16:00:35,jky,3,4
9/22/2025 16:00:36,syc,3,3
9/22/2025 16:00:37,zjh,5,1
9/22/2025 16:00:45,khq,3,1
9/22/2025 17:02:03,zjh,5,1
9/22/2025 17:06:26,jky,2,3
9/22/2025 17:12:00,zyx,3,2
9/22/2025 17:22:06,syc,3,2
9/22/2025 18:00:49,khq,2,1
9/22/2025 18:00:58,jky,3,3
9/22/2025 18:01:12,zyx,3,1
9/22/2025 18:01:35,zjh,5,1
9/22/2025 18:18:57,syc,2,3
9/22/2025 18:58:44,zyx,2,1
9/22/2025 19:17:33,zjh,4,3
9/22/2025 19:55:51,jky,3,1
9/22/2025 20:04:01,zjh,4,3
9/22/2025 20:33:45,khq,1,1
9/22/2025 20:48:26,syc,2,1
9/22/2025 21:01:29,zjh,3,1
9/22/2025 21:01:47,jky,3,2
9/22/2025 21:05:14,syc,5,1
9/22/2025 22:00:34,jky,3,1
9/22/2025 22:00:55,zyx,4,2
9/22/2025 22:01:16,zjh,3,3
9/22/2025 22:05:12,khq,3,1
9/22/2025 22:06:46,syc,3,3
9/22/2025 23:00:46,zyx,4,1
9/22/2025 23:01:11,khq,2,1
9/22/2025 23:02:34,zjh,4,2
9/22/2025 23:03:58,syc,2,3
9/23/2025 0:01:09,zyx,3,1
9/23/2025 0:01:19,syc,2,4
9/23/2025 0:01:40,khq,2,1
9/23/2025 0:02:55,zjh,4,2
9/23/2025 1:10:30,syc,3,4
9/23/2025 1:32:12,zyx,2,1
9/23/2025 1:34:07,zjh,4,1
9/23/2025 2:19:04,zyx,1,1
9/23/2025 2:59:47,zyx,1,1
9/23/2025 4:00:27,zyx,1,1
9/23/2025 8:00:50,zyx,5,1
9/23/2025 8:56:24,jky,3,2
9/23/2025 9:00:48,syc,3,1
9/23/2025 9:00:49,zjh,5,1
9/23/2025 9:00:55,zyx,5,1
9/23/2025 9:02:26,khq,3,1
9/23/2025 10:00:26,khq,3,1
9/23/2025 10:00:27,zyx,4,1
9/23/2025 10:00:29,jky,3,2
9/23/2025 10:00:34,syc,4,1
9/23/2025 10:01:09,zjh,5,1
9/23/2025 11:00:23,khq,2,1
9/23/2025 11:00:29,jky,3,2
9/23/2025 11:00:31,zyx,4,2
9/23/2025 11:00:41,zjh,5,1
9/23/2025 11:00:50,syc,3,1
9/23/2025 12:00:39,syc,5,1
9/23/2025 12:00:46,zyx,3,1
9/23/2025 12:00:54,khq,2,2
